_id,barcode,brandCode,category,categoryCode,cpg_id,cpg_ref,topBrand,name
5e710dd5ee7f2d0b35b2a193,511111314097,I CANT BELIEVE ITS NOT BUTTER,Dairy and Refrigerated,DAIRY_AND_REFRIGERATED,5e5ea9cc9c50da1291a6d074,Cogs,False,I CANT BELIEVE ITS NOT BUTTER
5fcff304be37ce6d53dfc686,511111118008,TEST BRANDCODE 1607463684777,Baking,BAKING,5fcff304be37ce6d53dfc683,Cogs,False,test brand 1607463684777
585a961fe4b03e62d1ce0e76,511111701781,BAKENETS,Snacks,SNACKS,5332f5fbe4b03c9a25efd0ba,Cogs,True,BakenEts
5daf472da60b87376833e35e,511111405979,LIBERTE,Dairy,DAIRY,5332f5f3e4b03c9a25efd0ae,Cogs,False,LIBERTE
5dc076e41dda2c0ad7da64ab,511111006251,APPLE CINNAMON CHEERIOS,Breakfast and Cereal,BREAKFAST_AND_CEREAL,53e10d6368abd3c7065097cc,Cogs,False,Apple Cinnamon CheeriosTM
5a5d2695e4b0db471c2d042d,511111700180,ST STEFANUS,Beer Wine Spirits,BEER_WINE_SPIRITS,5332f709e4b03c9a25efd0f1,Cogs,False,St Stefanus
5332f5ebe4b03c9a25efd0a7,511111304050,MONSTER,UNKNOWN,UNKNOWN,5332f5ebe4b03c9a25efd0a8,Cogs,False,Monster
585a9653e4b03e62d1ce0e7b,511111101734,DOLE CHILLED FRUIT JUICES,Beverages,BEVERAGES,5332f5fbe4b03c9a25efd0ba,Cogs,False,Dole Chilled Fruit Juices
5f35a0bcbe37ce6853cff20b,511111915409,TEST BRAND 1597350076586,Baking,BAKING,5f35a0bcbe37ce6853cff20a,Cogs,False,test brand 1597350076586
5332f70ee4b03c9a25efd0f7,511111703822,HAAGENDAZS,UNKNOWN,UNKNOWN,5332f5f3e4b03c9a25efd0ae,Cogs,False,HaagenDazs
592486bfe410d61fcea3d13a,511111700692,SUAVE,Personal Care,PERSONAL_CARE,5332f5f6e4b03c9a25efd0b4,Cogs,False,SUAVE
57ebbed8e4b0ac389136a32e,511111402190,CLASSICO,Condiments and Sauces,CONDIMENTS_AND_SAUCES,559c2234e4b06aca36af13c6,Cogs,False,Classico
57c08275e4b0718ff5fcb036,511111402473,BRAHMA,UNKNOWN,UNKNOWN,5332f7a7e4b03c9a25efd134,Cogs,False,Brahma
5fb82a34be37ce522e165ce5,511111717805,STROEHMANN,Grocery,GROCERY,5fb6b608be37ce522e165cb9,Cogs,False,Stroehmann
5d66d9016d5f3b6188d4f04a,511111305354,BUBLY,Beverages,BEVERAGES,5332f5fbe4b03c9a25efd0ba,Cogs,False,Bubly Sparkling Water
5ab152fae4b0be0a89bb0b05,511111004356,1915 BOLTHOUSE FARMS,Grocery,GROCERY,5a734034e4b0d58f376be874,Cogs,False,1915 Bolthouse Farms
5ff75cdfbe37ce1e961f3291,511111018827,TEST BRANDCODE 1610046687624,Candy and Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,False,test brand 1610046687624
5ff75cdebe37ce1e961f328d,511111218784,TEST BRANDCODE 1610046686954,Baking,BAKING,5ff75cdebe37ce1e961f328c,Cogs,False,test brand 1610046686954
5ff768d4be37ce1e961f329a,511111518839,TEST BRANDCODE 1610049748079,Baking,BAKING,5ff768d4be37ce1e961f3299,Cogs,False,test brand 1610049748078
5e5ff32bee7f2d0b35b2a190,511111114062,MIRALAX LAXATIVES,Health and Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,Cogs,False,MIRALAXLAXATIVES
5fd3ae1fbe37ce0d9386bb56,511111318248,TEST BRANDCODE 1607708191128,Baking,BAKING,5fd3ae1fbe37ce0d9386bb54,Cogs,False,test brand 1607708191128
5fd3ae1fbe37ce0d9386bb57,511111818250,TEST BRANDCODE 1607708191160,Baking,BAKING,5fd3ae1fbe37ce0d9386bb54,Cogs,False,test brand 1607708191160
5fd3ae1fbe37ce0d9386bb58,511111018261,TEST BRANDCODE 1607708191197,Baking,BAKING,5fd3ae1fbe37ce0d9386bb54,Cogs,False,test brand 1607708191197
5fd3ae1fbe37ce0d9386bb59,511111518273,TEST BRANDCODE 1607708191721,Candy and Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,False,test brand 1607708191721
5fd3ae20be37ce0d9386bb5b,511111718284,TEST BRAND 1607708192160,Baking,BAKING,5fd3ae20be37ce0d9386bb5a,Cogs,False,test brand 1607708192160
5fff3aa0be37ce2bb793011a,511111519591,TEST BRANDCODE 1610562208718,Baking,BAKING,5fff3aa0be37ce2bb7930116,Cogs,False,test brand 1610562208718
6000a0c6be37ce2bb793011d,511111619611,TEST BRANDCODE 1610653894219,Baking,BAKING,6000a0c6be37ce2bb793011c,Cogs,False,test brand 1610653894219
5fff3aa0be37ce2bb7930117,511111319566,TEST BRANDCODE 1610562208600,Baking,BAKING,5fff3aa0be37ce2bb7930116,Cogs,False,test brand 1610562208600
5fff3aa0be37ce2bb7930118,511111819578,TEST BRANDCODE 1610562208645,Baking,BAKING,5fff3aa0be37ce2bb7930116,Cogs,False,test brand 1610562208645
5fff3aa1be37ce2bb793011b,511111119609,TEST BRANDCODE 1610562209325,Candy and Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,False,test brand 1610562209325
5fff3aa0be37ce2bb7930119,511111019589,TEST BRANDCODE 1610562208680,Baking,BAKING,5fff3aa0be37ce2bb7930116,Cogs,False,test brand 1610562208680
6000b8c3be37ce321363c6c3,511111019701,TEST BRANDCODE 1610660035827,Baking,BAKING,6000b8c3be37ce321363c6bf,Cogs,False,test brand 1610660035827
6000b8c3be37ce321363c6c2,511111419693,TEST BRANDCODE 1610660035788,Baking,BAKING,6000b8c3be37ce321363c6bf,Cogs,False,test brand 1610660035788
6000b8c4be37ce321363c6c4,511111519713,TEST BRANDCODE 1610660036398,Candy and Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,False,test brand 1610660036398
60019b82be37ce4f17e558d2,511111219736,TEST BRANDCODE 1610718082494,Baking,BAKING,60019b82be37ce4f17e558d1,Cogs,False,test brand 1610718082493
585a973ee4b03e62d1ce0e97,511111801474,TROPICANA TROP 50,Beverages,BEVERAGES,5332f5fbe4b03c9a25efd0ba,Cogs,False,Tropicana Trop 50
552ecc9be4b02ff29f99b214,511111702733,VALU TIME,UNKNOWN,UNKNOWN,5459429be4b0bfcb1e864082,Cogs,False,Valu Time
580dffa7e4b0f32b2de21383,511111201847,TGI FRIDAYS,Frozen,FROZEN,559c2234e4b06aca36af13c6,Cogs,False,TGI Fridays
5a5d1d71e4b06ba572cf249c,511111600350,CUSQUENA,Beer Wine Spirits,BEER_WINE_SPIRITS,5332f709e4b03c9a25efd0f1,Cogs,False,Cusquena
5fb6b6e1be37ce522e165cbb,511111517399,ARNOLD,Bread and Bakery,BREAD_AND_BAKERY,5fb6b608be37ce522e165cb9,Cogs,False,Arnold
57ebc188e4b0ac389136a343,511111001997,MC CAFE,Beverages,BEVERAGES,559c2234e4b06aca36af13c6,Cogs,False,McCafe
5afda307e4b03bf01c2a2966,511111404514,OKEDOKE,Snacks,SNACKS,5a734034e4b0d58f376be874,Cogs,False,OKeDoke
5fcda494be37ce688e08b0ce,511111517955,TEST BRANDCODE 1607312532260,Baking,BAKING,5fcda494be37ce688e08b0cb,Cogs,False,test brand 1607312532260
5da606c61dda2c3e1416ae87,511111505648,ALKA SELTZER ADULT HEARTBURN CHEWS GUMMY TAB,Health and Wellness,HEALTH_AND_WELLNESS,53e10d6368abd3c7065097cc,Cogs,False,ALKA SELTZER ADULT HEARTBURN CHEWS GUMMY TAB
5f19e054be37ce33f74a1672,511111615149,TEST BRANDCODE 1595531348450,Baking,BAKING,5f19e054be37ce33f74a166e,Cogs,False,test brand 1595531348450
5f493dabbe37ce64d0ae36be,511111816058,TEST BRANDCODE 1598635435926,Baking,BAKING,5f493dabbe37ce64d0ae36ba,Cogs,False,test brand 1598635435926
5fd29590be37ce38bbbefb26,511111018056,TEST BRANDCODE 1607636368136,Baking,BAKING,5fd29590be37ce38bbbefb25,Cogs,False,test brand 1607636368135
5f493d85be37ce64d0ae36b2,511111416012,TEST BRAND 1598635397611,Baking,BAKING,5f493d85be37ce64d0ae36b1,Cogs,False,test brand 1598635397611
58861c7f4e8d0d20bc42c4fb,511111201281,QUAKER OATMEAL SQUARES,Breakfast and Cereal,BREAKFAST_AND_CEREAL,5332f5fbe4b03c9a25efd0ba,Cogs,False,Quaker Oatmeal Squares
5dd59806a60b870fc613f7ca,511111806387,OATMEAL CRISP,Breakfast and Cereal,BREAKFAST_AND_CEREAL,5332f5f3e4b03c9a25efd0ae,Cogs,False,Oatmeal CrispTM Cereal
58861c7e4e8d0d20bc42c4e4,511111101383,MILWAUKEES BEST LIGHT,Beer Wine Spirits,BEER_WINE_SPIRITS,5332f709e4b03c9a25efd0f1,Cogs,False,Milwaukees Best Light
5ff3842abe37ce2c56dacbac,511111818533,TEST BRAND 1609794602668,Baking,BAKING,5ff3842abe37ce2c56dacbab,Cogs,False,test brand 1609794602668
5ff3842bbe37ce2c56dacbaf,511111518556,TEST BRANDCODE 1609794603283,Baking,BAKING,5ff3842bbe37ce2c56dacbad,Cogs,False,test brand 1609794603283
5ec2dd58be37ce5234ec36b9,511111614630,PHILLIPSDIGESTIVE,Health and Wellness,HEALTHY_AND_WELLNESS,5d9b4f591dda2c6225a284aa,Cogs,False,PhillipsDigestive
6000b8c3be37ce321363c6c1,511111919681,TEST BRANDCODE 1610660035741,Baking,BAKING,6000b8c3be37ce321363c6bf,Cogs,False,test brand 1610660035741
6000b8c4be37ce321363c6c6,511111719724,TEST BRAND 1610660036852,Baking,BAKING,6000b8c4be37ce321363c6c5,Cogs,False,test brand 1610660036852
5ff3842bbe37ce2c56dacbae,511111018544,TEST BRANDCODE 1609794603237,Baking,BAKING,5ff3842bbe37ce2c56dacbad,Cogs,False,test brand 1609794603236
5ff3842bbe37ce2c56dacbb1,511111218579,TEST BRANDCODE 1609794603367,Baking,BAKING,5ff3842bbe37ce2c56dacbad,Cogs,False,test brand 1609794603367
5ff3842bbe37ce2c56dacbb0,511111718567,TEST BRANDCODE 1609794603327,Baking,BAKING,5ff3842bbe37ce2c56dacbad,Cogs,False,test brand 1609794603327
5ff3842bbe37ce2c56dacbb2,511111418580,TEST BRANDCODE 1609794603942,Candy and Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,False,test brand 1609794603941
5ff73cf9be37ce1e961f3257,511111918592,TEST BRANDCODE 1610038521409,Baking,BAKING,5ff73cf9be37ce1e961f3256,Cogs,False,test brand 1610038521409
60019b82be37ce4f17e558d3,511111419747,TEST BRANDCODE 1610718082601,Baking,BAKING,60019b82be37ce4f17e558d1,Cogs,False,test brand 1610718082601
60019b83be37ce4f17e558d6,511111619772,TEST BRANDCODE 1610718083279,Candy and Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,False,test brand 1610718083279
60074261be37ce360be639f6,511111319795,TEST BRAND 1611088480964,Baking,BAKING,60074260be37ce360be639f5,Cogs,False,test brand 1611088480964
60019b82be37ce4f17e558d5,511111119760,TEST BRANDCODE 1610718082685,Baking,BAKING,60019b82be37ce4f17e558d1,Cogs,False,test brand 1610718082685
60019b83be37ce4f17e558d8,511111819783,TEST BRAND 1610718083421,Baking,BAKING,60019b83be37ce4f17e558d7,Cogs,False,test brand 1610718083421
60019b82be37ce4f17e558d4,511111919759,TEST BRANDCODE 1610718082644,Baking,BAKING,60019b82be37ce4f17e558d1,Cogs,False,test brand 1610718082644
5ff8b5febe37ce4a13986614,511111319122,TEST BRAND 1610135038186,Baking,BAKING,5ff8b5febe37ce4a13986613,Cogs,False,test brand 1610135038186
5ff8b5fcbe37ce4a13986612,511111119111,TEST BRANDCODE 1610135036684,Candy and Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,False,test brand 1610135036684
5ffe2df8be37ce5e01754c20,511111919193,TEST BRAND 1610493432606,Baking,BAKING,5ffe2df8be37ce5e01754c1f,Cogs,False,test brand 1610493432606
5ffe2e38be37ce5e01754c22,511111519201,TEST BRANDCODE 1610493496943,Baking,BAKING,5ffe2e38be37ce5e01754c21,Cogs,False,test brand 1610493496943
5ffe2ca1be37ce5e01754c0e,511111219170,TEST BRANDCODE 1610493089082,Candy and Sweets,CANDY_AND_SWEETS,5332fa12e4b03c9a25efd1e7,Cogs,False,test brand 1610493089082
5ff8b5fbbe37ce4a13986610,511111019091,TEST BRANDCODE 1610135035614,Baking,BAKING,5ff8b5fbbe37ce4a1398660d,Cogs,False,test brand 1610135035614
5ffe2ce0be37ce5e01754c17,511111419181,TEST BRAND 1610493152468,Baking,BAKING,5ffe2ce0be37ce5e01754c16,Cogs,False,test brand 1610493152468
5ff8b5fbbe37ce4a13986611,511111619109,TEST BRANDCODE 1610135035679,Baking,BAKING,5ff8b5fbbe37ce4a1398660d,Cogs,False,test brand 1610135035679
5ff8b5fbbe37ce4a1398660f,511111519089,TEST BRANDCODE 1610135035546,Baking,BAKING,5ff8b5fbbe37ce4a1398660d,Cogs,False,test brand 1610135035546
5ffe2ca0be37ce5e01754c0a,511111819134,TEST BRANDCODE 1610493088287,Baking,BAKING,5ffe2ca0be37ce5e01754c09,Cogs,False,test brand 1610493088286
5ffe2ca0be37ce5e01754c0c,511111519157,TEST BRANDCODE 1610493088459,Baking,BAKING,5ffe2ca0be37ce5e01754c09,Cogs,False,test brand 1610493088459
5ffe2ca0be37ce5e01754c0b,511111019145,TEST BRANDCODE 1610493088421,Baking,BAKING,5ffe2ca0be37ce5e01754c09,Cogs,False,test brand 1610493088421
5ffe2ca0be37ce5e01754c0d,511111719168,TEST BRANDCODE 1610493088494,Baking,BAKING,5ffe2ca0be37ce5e01754c09,Cogs,False,test brand 1610493088494
5ff789d5be37ce786ba0f6a9,511111819066,TEST BRAND 1610058197026,Baking,BAKING,5ff789d5be37ce786ba0f6a8,Cogs,False,test brand 1610058197026
